7500
-5373309127226781/9765625000000000 -1630889090819929/1953125000000000
-4659127936141923/4882812500000000 2921906764301801/9765625000000000
6109459298100521/19531250000000000 -1159445303878097/1220703125000000
-121978643446881/122070312500000 242169703867859/6250000000000000
-4861633513523061/9765625000000000 8469471720291321/9765625000000000
-4742156296699141/4882812500000000 -930827268301203/3906250000000000
290467703217233/488281250000000 3924883342078691/4882812500000000
4460166945592053/4882812500000000 7948603628416053/19531250000000000
-44021394875299/97656250000000 -4358572001612311/4882812500000000
8409769442862201/9765625000000000 248209636993239/488281250000000
477605397162497/488281250000000 812370898654193/3906250000000000
-1726244275218617/2441406250000000 -6905702200140419/9765625000000000
8303933286188989/9765625000000000 5139272674138583/9765625000000000
55406713855433/61035156250000 4096082368559563/9765625000000000
3736377145157521/9765625000000000 2255644551311353/2441406250000000
4738121479664227/4882812500000000 -2359714181082721/9765625000000000
5041431943637099/9765625000000000 -167273901847599/195312500000000
-110158813749061/152587890625000 -6757412085003409/9765625000000000
8057977390668417/9765625000000000 5516922331527027/9765625000000000
152558966795741/152587890625000 1521080876949669/78125000000000000
5332177898755849/19531250000000000 4697323742159729/4882812500000000
6171308085068569/39062500000000000 -1205372844438813/1220703125000000
2841933705163401/9765625000000000 -46714784719637/48828125000000
2611241992680597/4882812500000000 -2062963473126567/2441406250000000
-1138010427577917/4882812500000000 474834604645451/488281250000000
1668471178228289/1953125000000000 -2538332613457239/4882812500000000
1191592545508581/1220703125000000 132498419682223/610351562500000
-408669935148643/488281250000000 1336108745641297/2441406250000000
-6984373753827859/9765625000000000 213293451820073/305175781250000
-5943893561161041/9765625000000000 1549678172708299/1953125000000000
7395475536777949/19531250000000000 -2259620640683613/2441406250000000
-4871626936824289/4882812500000000 5285061781327327/78125000000000000
-4718024413681749/4882812500000000 -2515633949571551/9765625000000000
615879354843521/1220703125000000 4215796465034419/4882812500000000
-783538619996777/1953125000000000 -2236335065667761/2441406250000000
1650958526444279/2441406250000000 1438844074165091/1953125000000000
-1213733932169863/2441406250000000 -2118328213341489/2441406250000000
-950174018854761/976562500000000 2254853660432141/9765625000000000
6653253735364311/19531250000000000 -1147694600355427/1220703125000000
-4881631330396267/4882812500000000 -429575869896267/19531250000000000
8889144566046497/9765625000000000 4043580161756539/9765625000000000
-4879384004628027/4882812500000000 18294711130927/488281250000000
6786353024611077/9765625000000000 7022310464937951/9765625000000000
-2379986021564369/2441406250000000 -1088358423860943/4882812500000000
2355264825732363/2441406250000000 1028480296461641/3906250000000000
802690866752467/976562500000000 -1390507301397639/2441406250000000
8675496543699523/9765625000000000 8967316512955839/19531250000000000
-8303432434239667/9765625000000000 -642510231565441/1220703125000000
155828537515867/244140625000000 187941777343561/244140625000000
