7500
-801974138235177/976562500000000 5572358549197953/9765625000000000
-3755027500029861/9765625000000000 -4507416114434203/4882812500000000
-143946158499859/976562500000000 -4829476731125701/4882812500000000
-4863870902158619/4882812500000000 -3437373483725787/39062500000000000
-4849707799221763/4882812500000000 2270478970874131/19531250000000000
4844599936398257/19531250000000000 2365109597152523/2441406250000000
-1521331808706819/3906250000000000 -8994560366659409/9765625000000000
-5346347699034139/39062500000000000 -773898048203/781250000000
7588433457642619/19531250000000000 -8998408251205183/9765625000000000
-8615874455403401/9765625000000000 -287324260210101/610351562500000
-5016881081173493/9765625000000000 8378444715935559/9765625000000000
-7962224592027393/78125000000000000 -485738749730843/488281250000000
5731572791587249/9765625000000000 -3953368973905729/4882812500000000
-5296373465403063/19531250000000000 187994189984019/195312500000000
1269300585331959/2441406250000000 8342029011328127/9765625000000000
-6262341263890199/19531250000000000 462501897602241/488281250000000
-242011887411153/781250000000000 4642626078877039/4882812500000000
-1116468506250927/1220703125000000 3948583089136371/9765625000000000
6844721414480569/9765625000000000 -6965430381446369/9765625000000000
-477643966946217/488281250000000 -4054591459852623/19531250000000000
304357216119493/305175781250000 -714784636461261/9765625000000000
8284778270702863/9765625000000000 2585047419580281/4882812500000000
-221714704776017/390625000000000 -1608030474766287/1953125000000000
-8198700618759669/9765625000000000 663192324628747/1220703125000000
-2972717698598137/4882812500000000 1936801964231091/2441406250000000
-5515432030855981/9765625000000000 -8058997527833897/9765625000000000
2259968701237577/2441406250000000 7388665685074577/19531250000000000
8215940516250967/2500000000000000000 -976557226417123/976562500000000
1596828695481861/1953125000000000 2811622510791921/4882812500000000
-2133504762487607/2441406250000000 474741513833667/976562500000000
-6379343700761929/9765625000000000 -7394011467949863/9765625000000000
-3258290253975021/19531250000000000 -4814387754321359/4882812500000000
-4882454808771401/4882812500000000 -7564952105434819/625000000000000000
-7944520235485857/9765625000000000 5679087062951293/9765625000000000
-283039863318129/305175781250000 -73029281448001/195312500000000
-869215891683751/1220703125000000 6856610722059987/9765625000000000
-4647349835860791/4882812500000000 -1497997801494023/4882812500000000
-4880464812769229/4882812500000000 484471138388309/15625000000000000
-2345823843573341/2441406250000000 -5411543055133073/19531250000000000
-6953729092062209/9765625000000000 -6856608735725897/9765625000000000
469929724868377/488281250000000 -663035308009573/2441406250000000
8133406163795031/19531250000000000 554911865483463/610351562500000
-8188374101583883/78125000000000000 303494915501961/305175781250000
-4532985996230303/4882812500000000 7259637311200851/19531250000000000
-4246837222585011/9765625000000000 -8793850422055827/9765625000000000
6622006440441397/19531250000000000 -4593601237490939/4882812500000000
4864800263208613/4882812500000000 -3352146147092361/39062500000000000
-4540396027203287/4882812500000000 7185164522890599/19531250000000000
-294112172261623/390625000000000 -6426795505564447/9765625000000000
-6624238701660829/39062500000000000 4812091488949703/4882812500000000
1362725371733983/3906250000000000 915210652791629/976562500000000
2441377570013119/2441406250000000 6058891613428797/1250000000000000000
2328861740784113/4882812500000000 -8583300274945119/9765625000000000
-3544558025358189/9765625000000000 -4549822525261119/4882812500000000
-982081704918861/1220703125000000 -5800036657806521/9765625000000000
2429179102512989/2441406250000000 122017791175357/1220703125000000
8405796018077833/19531250000000000 1762987010346267/1953125000000000
3632192026055087/9765625000000000 1133127673235173/1220703125000000
593172585542481/610351562500000 -287578257919749/1220703125000000
5075265635533357/9765625000000000 834320743895291/976562500000000
30006330103863/78125000000000 4508297809100357/4882812500000000
2368438950167539/2441406250000000 -947871946616721/3906250000000000
-303896180443883/305175781250000 -7146798235955573/78125000000000000
2929228582425331/4882812500000000 7813188292127289/9765625000000000
717831198810473/1220703125000000 1974674139597807/2441406250000000
3464304992018471/4882812500000000 6881990651674019/9765625000000000
5461044576495329/9765625000000000 -8095951072860801/9765625000000000
-10235563867543/19531250000000 -1663439084775719/1953125000000000
5977964640040713/78125000000000000 4868497090575999/4882812500000000
-6182879460439301/9765625000000000 -7559062985470013/9765625000000000
6743955674031029/39062500000000000 4809492514998179/4882812500000000
-7636029353959949/78125000000000000 2429716475049389/2441406250000000
-516579684500371/976562500000000 -2071864718628709/2441406250000000
7657238433932887/9765625000000000 3030434424572079/4882812500000000
-5394208972951477/19531250000000000 4692895135991679/4882812500000000
-6770642434520529/9765625000000000 -3518729623901747/4882812500000000
1802376106311001/2441406250000000 6587144873388783/9765625000000000
1332985902902267/2441406250000000 1022694120962237/1220703125000000
1506809304791461/3906250000000000 -4504913078638053/4882812500000000
-901579716914047/1220703125000000 -822964235817057/1220703125000000
2256795756567139/2441406250000000 7450476025294993/19531250000000000
-1110305862850791/7812500000000000 -604156224243153/610351562500000
-2991838341944667/4882812500000000 3858854913808763/4882812500000000
