7500
7545141450236407/19531250000000000 -4503752373427243/4882812500000000
4567829181897361/9765625000000000 -1726295087238933/1953125000000000
-4411836980976307/9765625000000000 4356120007928927/4882812500000000
949713201559771/976562500000000 4548368990719187/19531250000000000
-563948980931/610351562500 -3734914677578049/9765625000000000
-116259001046039/244140625000000 8587291955085047/9765625000000000
2039567768877803/2441406250000000 -1341874730999091/2441406250000000
4516181397024511/19531250000000000 -4750485713006551/4882812500000000
59390241053699/78125000000000 -6344676524190781/9765625000000000
-1397217110692759/3906250000000000 -4559772028307613/4882812500000000
1538321242251699/4882812500000000 -926831714299709/976562500000000
-8399058410926761/19531250000000000 -1763308096653391/1953125000000000
1138514689335071/19531250000000000 -974901932074027/976562500000000
4662587924679369/19531250000000000 -4741637378105361/4882812500000000
-7370612662361323/78125000000000000 243051677849151/244140625000000
439381792433049/610351562500000 -3389137191199081/4882812500000000
-1204022815940817/2441406250000000 8495451523005009/9765625000000000
-4835106511451133/4882812500000000 -5447071480810827/39062500000000000
-71641172990629/78125000000000 -7790450715165531/19531250000000000
-4527566777549019/19531250000000000 2374904161347011/2441406250000000
-880557655167779/1953125000000000 -2179204084045947/2441406250000000
-8371127395788067/9765625000000000 78579393824439/152587890625000
477388685519813/976562500000000 2129809791014087/2441406250000000
-7892245500777709/19531250000000000 -8932835321413269/9765625000000000
-1631952525052411/9765625000000000 4814150044312081/4882812500000000
4876940251817191/4882812500000000 -957594405677229/19531250000000000
-3127157558780139/19531250000000000 -4819819836914707/4882812500000000
2929762496982263/4882812500000000 3906193751138377/4882812500000000
7226667753862427/19531250000000000 1134069345421929/1220703125000000
-299271190407333/305175781250000 7646874753011291/39062500000000000
-6531518530486281/19531250000000000 -4601691212535441/4882812500000000
-290855813730249/781250000000000 -1132951993695169/1220703125000000
4810177244086371/9765625000000000 -8498801475566931/9765625000000000
6853283640699509/9765625000000000 6957006179438501/9765625000000000
-2261416440796127/2441406250000000 3680130777754593/9765625000000000
-2285851249607311/2441406250000000 -137203945571979/390625000000000
8899016553823051/39062500000000000 -4754416385426527/4882812500000000
4821970038993601/4882812500000000 6147326459939759/39062500000000000
