1000
2915989282526202122/8454066272342445217 1740047064743547145/4388775076245693723
862754952442760276/6613572342915210853 2923356155706893414/6376088307903750199
4742759243662135090/5237458207096938056 921881991906405566/1864236513150381853
2877947611339118174/8982258743247084967 3180446023583532551/4120740271889257473
4172684992388174294/8674412491955228767 926853338826434949/1826805520508661807
2145317009642604206/5222378027261052078 1777818344298732337/6237616987947798240
2662719325332183036/6108472404451122574 1557618223859651522/8687063915731529969
3596645944571062824/6894844596671307854 904901818189715453/8837287638035874748
1636277557266097522/7280004516493939038 4742417142324263649/8766770236678741351
1019134287169766493/8753774349348530905 3801428353560710195/8102425679850826916
1483888151063356404/8172908121664966188 155937186165198496/939765478449793537
2800834305677284415/9156817869656035288 5267318995777269075/7421978724558069637
5469301000597094104/8061493401089337525 2076805370448029038/7471102479771787812
251752460566445866/4443698621577577084 1495038152720906719/8351573959410595451
1661294791617266803/7442413422836321783 517457900856321856/8324845729931865066
78225847808733372/1069322002231618711 323398777000288376/9200037709476589754
3430832387153324188/5263402168742944304 1732023643366036780/6004543594722148134
3052614900572432089/5782576561387796297 1253300476179373455/2735087714621527465
1841556852033325397/6186316185919048573 1996974547092668974/3223612511123265812
552451724935759649/5200231127978179351 4627453743818437220/6482642380825417649
4449352417303783951/5288447168598720243 3277657995718268013/4395885649939428002
2239658740455726947/4412014993022195428 1306674588948603245/8555815007712061580
5464489568177681125/5987608303402303941 2319295630222267904/9078807573380097482
259376080068026480/3797945751448302890 3986533613501859364/7983543344916624156
184055941554122876/6588790773500192153 5536733384708105544/5884265311801497548
2348460328399737589/6268086986239666085 2074858502614962190/3700551367775954519
1427515245283077082/1479468226430880563 1144844944391491846/2343084587542851824
2857774419690189605/4700299440679118259 1570428364542158796/6479464293935045003
3744176784231706886/7710657860010301039 2920770444795588298/8216382220832556124
6893251648692975070/7772374656322296097 7320088714614094790/7859358989029437531
4191435796038591041/6397619031605750774 775840539603959965/5883975197078397466
2657072901974299655/4470355956852938200 2482865464609640048/8611086348403667219
1807139408307562807/6366118515511483411 7524169827290747843/8261139486223798450
2100817274924767048/3102382017061733055 348371112117399527/4439198878511318777
2576152648209277964/8811898710137005779 7944364934308785623/8578094896667157886
4239660681682753486/9011640069173692225 7005082587424721795/7156408640988800976
6570896110959671240/9196489379184700332 1119848896579237434/8507792382639120821
3517180653750000015/7353377433807552717 3039127151998519564/5770988695007849373
1234415133136097710/1647860586075238051 3653911738042290904/6984823557503585326
6096783775738312871/7067398312439856719 2221584066348262465/8964532335168703000
2313550665989425631/4261847528307842533 8731039703270682711/9081923517968971827
2857510605472829092/4026736833387199238 7154805172024107314/8568489494476841367
4008451385720889268/5973353467612273603 9106418680538779/7735993452265685754
2317012008037731338/4510874353038958238 483026275035849543/7043351437588243872
688469862153147725/2580339066816055496 6112330902616263895/8366590592052025898
1822068335704440244/7604792434377719981 4997589973726992774/5451168033848826472
5526508189468845292/6172867460872484154 2651033500627908890/6464249125236071396
3127078253524251867/5889045228138175259 1629432257648978423/2751253616150253524
3672905297931816300/8151412707587462442 736530192539182368/8709397715569411339
2901541496443451022/3172355721935599375 155147087127032328/3583152236860140129
2029229987454512469/3057715154742174545 2271977075052170794/6074817934159010914
2841947532139781132/4191587302920650117 2721674691505795888/6617313656144738796
4636347260960352167/8272378524934881931 588217809802310551/1517721985605579934
3859795265316664455/4944684841993855259 3169578915267278414/6564364492057939126
4657119224581490975/8953904297900733277 923541487558826960/8138100870572141767
2274721346508894744/5771403946964903534 2652121517127530255/9108187507257646006
6956101796352012830/7045035886499270158 3437935527217189074/8148998220681677951
919815171324990743/2575104173306215633 2077062066946045815/7500051165130959890
2557645186703782405/8778655595574380358 6673370996224812779/7245103867368808573
14641851974819429/8041688062118725838 5579549318253965632/8159666593144011108
2952414440962345857/4889842601302261250 160628264900270285/6268692963937762359
4786456152806479022/7724145788018940586 5541638101828639645/7783952421617800500
420555101180685841/4779925100513928851 2026183134144340401/4884843179899142802
704366127813330302/1411794341682056967 840215127678806052/2090059953150823375
662244473058805088/3301467976619059336 3339647266727316611/6386663618560907160
3755866376564725848/7397693169831021081 6978181080116208925/8435835000615956131
2793471385271210779/2834336360310683520 1918763265333864620/7321044770550903274
1075968916807599045/9156880272474810689 2547403956896555342/5274158531319705811
5984105514293169669/7459827927073385051 9008726576185361/7977873582151937071
5379988713003928150/8650240931684159849 2147379921206298094/7310471617738350246
2503812482035985822/6153993984098813885 3857686745642375643/8932993331370106863
6305429457281820565/8378888046175716553 2271230122125422978/7316602649145062147
112614243014207372/9021260696831706694 56952445513559594/8280248241806701498
612726877353375222/5886139832353349967 2787629555462380599/8776133571626082062
3287891764471383780/4132821569908457943 617826723195100298/4158862696586614663
3931796260766763898/4008477629287049791 2907072427860995838/7173104076430727620
970500465735895135/5289902778494475382 527861369533224576/7593675679372311506
2877785664843821615/5125800183122282753 1773743780394183630/2004858271342421461
1492791122153410083/5425807785229151890 3755960268818691447/4578216029275124665
6371941653474874090/8653680120040018564 8062514277714706727/9122307748239291860
2357932419100598368/6080286719034177814 4444659167339430664/7939764624689659776
153219737061680976/4404630401760810208 4322524056418500073/7427116464897932340
6058177529925059820/6082863673889885458 403621345947945981/6936621990745492502
282713790597527325/1107842196536905327 7952029601620283705/8398393392580833071
1559642539166205336/5063749779661141284 4242681931868743553/6555733373834999029
5134879717801363604/8612211404709955146 4480206213569928145/5919268160627501650
208734926789332315/8796753213881974205 2378906053692647548/3288823068821140685
2676599684589002450/8172094241926188401 7035919288256342746/8723582160778175376
945010853891585119/2327272021823133719 1011468706515726037/4499168617061331551
1814625821796484029/3653926668417089934 1659825790767334557/5901360955328171025
5039022117278980449/7475176080649123091 521403068872816882/8024807402509994547
8872419480700818145/9127518287969947984 7147858610630920570/8466708932675480061
1920823934183866851/3195510191731276245 3666861371449900974/5704497481948503123
3305423774936060785/8494699236404380711 3393120666910584824/8407033042656518083
717833058350059399/5749448644661811150 2281774018901619338/6735087329841831903
