100
-4546642217709837/4882812500000000 890210993851293/2441406250000000
-5351500251027137/9765625000000000 -10210968115209/12207031250000
974495623280197/9765625000000000 -194337633947553/195312500000000
-228690711305541/244140625000000 6837638580893303/19531250000000000
-1225896019255977/3906250000000000 -4636129853605057/4882812500000000
5502185835282737/9765625000000000 -8068047017379051/9765625000000000
-101342133885253/195312500000000 -4174082575536319/4882812500000000
345050340989473/390625000000000 2288836795461303/4882812500000000
-4811752064156201/4882812500000000 -265599996770079/1562500000000000
8766548293253083/9765625000000000 -268932079763867/610351562500000
-2241264666988039/2441406250000000 -7744715545661031/19531250000000000
-277351968956589/305175781250000 -8147917084533927/19531250000000000
-2870439619048963/4882812500000000 1974995841992477/2441406250000000
4818981599555953/4882812500000000 6295518422737989/39062500000000000
1014225440787111/2441406250000000 -4441536325551893/4882812500000000
8141503653910093/9765625000000000 5392898097868493/9765625000000000
-381338106817511/1220703125000000 -289902717268397/305175781250000
-361015330196193/610351562500000 -3937080837042797/4882812500000000
7450350999109057/39062500000000000 -4793177404264437/4882812500000000
-6798722563766147/19531250000000000 -572179818066467/610351562500000
185914476090831/244140625000000 6329670115291943/9765625000000000
74719497110151/76293945312500 7894814925192287/39062500000000000
4994580275211523/9765625000000000 8391757832247841/9765625000000000
-6405044016405707/9765625000000000 3685879908126771/4882812500000000
2405596060777777/2441406250000000 6665917033449561/39062500000000000
-11308380163323/19531250000000 3981129430232887/4882812500000000
1624280847450291/4882812500000000 -4604733394971137/4882812500000000
5738945281233939/9765625000000000 7901388403288861/9765625000000000
-6871772260939953/39062500000000000 -2403332364463403/2441406250000000
-1680837652432729/2441406250000000 7082654037806443/9765625000000000
-7429902673126069/9765625000000000 6337505653527979/9765625000000000
7989841930619731/9765625000000000 5615145373392907/9765625000000000
-281090242029373/781250000000000 -2277908165126223/2441406250000000
1029619040195099/2441406250000000 -8854692866142143/9765625000000000
-4586266615978647/4882812500000000 1340570967864907/3906250000000000
-6900039894795117/9765625000000000 6910635360866669/9765625000000000
-1158022441954563/19531250000000000 -304638902609327/305175781250000
125281969317459/610351562500000 2389421546768609/2441406250000000
4669345110485283/4882812500000000 1427961536366941/4882812500000000
-5603741493932071/9765625000000000 3998922133206927/4882812500000000
-484179970274959/1220703125000000 2241147809288183/2441406250000000
1215837917714963/4882812500000000 -591127049425539/610351562500000
8997946316370881/19531250000000000 8667564373141507/9765625000000000
-6875220136078423/9765625000000000 3467664189374701/4882812500000000
-4434004986285007/4882812500000000 -2044861289123531/4882812500000000
