100
677376339369657/1220703125000000 -8124146386655243/9765625000000000
-546324056441701/4882812500000000 -4852152917572707/4882812500000000
2730356941280891/4882812500000000 4048087064695559/4882812500000000
3966096377844019/4882812500000000 -5696292630056431/9765625000000000
407600692568441/488281250000000 -537699747142547/976562500000000
8949378096043333/9765625000000000 -1563384192560987/3906250000000000
-4559274358748297/39062500000000000 -1212359819365913/1220703125000000
2408082554085423/2441406250000000 -6431977915354871/39062500000000000
-2148310770868017/2441406250000000 -4639353936593377/9765625000000000
-3940433604695561/4882812500000000 -5767093173217231/9765625000000000
2185759148317781/9765625000000000 -4758936030936173/4882812500000000
3401096583136381/78125000000000000 -152443228826691/152587890625000
1046275969233789/3906250000000000 1176100534253047/1220703125000000
-4866112809009077/4882812500000000 3227918612644793/39062500000000000
3781829985578897/4882812500000000 -386078438240141/610351562500000
794289653789557/1220703125000000 -463470620769977/610351562500000
-8274949848305469/9765625000000000 -1296452772198391/2441406250000000
-2765832035306567/19531250000000000 966721133154453/976562500000000
8444445277661057/9765625000000000 -980994915240907/1953125000000000
573416416890019/610351562500000 -104549799960597/305175781250000
-4747779255609129/9765625000000000 -853381648388531/976562500000000
8364793086625263/19531250000000000 -110308509697739/122070312500000
-812213213730579/19531250000000000 2439294327573107/2441406250000000
6903386511366727/19531250000000000 182705495603493/195312500000000
-3816257619842171/19531250000000000 -2394348503316901/2441406250000000
-3696729548076479/9765625000000000 4519447485285211/4882812500000000
-4683906372834771/9765625000000000 8569040362324291/9765625000000000
-1202893108706819/1220703125000000 -1329665090648921/7812500000000000
-4684072553775961/156250000000000000 -1220154488317269/1220703125000000
6075665163290191/9765625000000000 1529100709099397/1953125000000000
-6547552831149733/9765625000000000 3622740108120099/4882812500000000
4141695666926691/9765625000000000 -8843855982725277/9765625000000000
5858665031570209/9765625000000000 -7813032425920261/9765625000000000
-2295109501495319/2441406250000000 6659426299302227/19531250000000000
-2757276728509843/39062500000000000 4870633190504499/4882812500000000
3345514730413407/4882812500000000 7113195933964749/9765625000000000
2812971662711347/4882812500000000 -498890148462991/610351562500000
-946037637234303/2441406250000000 1800529214021291/1953125000000000
-2674018745134967/4882812500000000 -8171041955790723/9765625000000000
-812338002724791/3906250000000000 4776062714175031/4882812500000000
-742971287043891/1220703125000000 7748485420057201/9765625000000000
488215481528207/488281250000000 5128900174082731/312500000000000000
8709168292085307/19531250000000000 8740997000094381/9765625000000000
-461003769200569/488281250000000 3218329000237917/9765625000000000
2048363952866853/2441406250000000 5313634679403157/9765625000000000
-7251645875485139/9765625000000000 -3270361743644897/4882812500000000
8116224670465461/9765625000000000 54308681386269/97656250000000
336977186583763/15625000000000000 -4881676831687587/4882812500000000
-5148178249536459/19531250000000000 -4710135263938153/4882812500000000
-6872009448713549/9765625000000000 -867313720790889/1220703125000000
-1126124908110403/1220703125000000 3769000382854653/9765625000000000
5984436926192413/9765625000000000 7717120338380743/9765625000000000
-2807133723395699/19531250000000000 151003666677149/152587890625000
