2500
-113062214416581/122070312500000 7363645818866359/19531250000000000
-6083084460394661/9765625000000000 1909900440604333/2441406250000000
6886813941482553/39062500000000000 -2403164173921119/2441406250000000
-2447580949943921/19531250000000000 -4844320605461433/4882812500000000
-6198560734483443/39062500000000000 4820945108117611/4882812500000000
2218648119149959/2441406250000000 -4075418998692353/9765625000000000
-3298924643460419/4882812500000000 -7199709468284341/9765625000000000
-99243490027959/305175781250000 2308703354160419/2441406250000000
2034931133695631/2441406250000000 -539558302118357/976562500000000
2471945759459221/19531250000000000 2421773661508207/2441406250000000
649834875528371/1220703125000000 1653374346621293/1953125000000000
-651367533274987/976562500000000 -28421684223433/38146972656250
2413570411304441/2441406250000000 -1470468481619513/9765625000000000
4868982308122169/39062500000000000 -4844732831793323/4882812500000000
-4882491467424253/4882812500000000 -1433366994918887/125000000000000000
53300505197569/152587890625000 571903775277917/610351562500000
3309004331597681/19531250000000000 2406112713278307/2441406250000000
-600505168165481/976562500000000 -1540217983809821/1953125000000000
7830204920172159/9765625000000000 729461729512941/1220703125000000
1313397154183983/2441406250000000 8232085901320979/9765625000000000
-4730474444649871/19531250000000000 -4737432968463871/4882812500000000
1736782461719947/2441406250000000 -3431647509987623/4882812500000000
8363533342634973/156250000000000000 -4875812613565469/4882812500000000
-64056677045601/244140625000000 -588968308258529/610351562500000
-1629511391367259/1953125000000000 -134593711024451/244140625000000
-2382186423547041/2441406250000000 -4275716144046751/19531250000000000
3255406410108983/19531250000000000 -4814509682119259/4882812500000000
4864632578045029/4882812500000000 6735368916360987/78125000000000000
1685362360467877/19531250000000000 -4864599676980227/4882812500000000
-2484434063414227/9765625000000000 1180538932974391/1220703125000000
1234870094469213/4882812500000000 944816463868869/976562500000000
-732835505586203/1953125000000000 905213978484813/976562500000000
509548043362731/610351562500000 -5375852887306289/9765625000000000
-8892145099443629/19531250000000000 869481860208913/976562500000000
-1053942049359639/1953125000000000 8221775085431071/9765625000000000
848760563860391/1220703125000000 1403740488490519/1953125000000000
2801467951421681/4882812500000000 39992043242767/48828125000000
-8997858805842453/9765625000000000 -3795519536341293/9765625000000000
2047014391796543/39062500000000000 -1219025865545487/1220703125000000
1039143840417041/1220703125000000 1024869878408331/1953125000000000
-1020448407419409/2441406250000000 2217915581201019/2441406250000000
777854283145017/1220703125000000 940775655285423/1220703125000000
-3462832419167849/4882812500000000 86061930996363/122070312500000
4582559164418103/39062500000000000 -4849096336165713/4882812500000000
4533921529024871/625000000000000000 -488268402053199/488281250000000
7441190402460523/19531250000000000 4514548786678669/4882812500000000
-928290474280257/976562500000000 -3032344171870759/9765625000000000
1081567677752357/1220703125000000 1131949606344981/2441406250000000
3462403634848247/78125000000000000 -2439007423719409/2441406250000000
-924102912498691/976562500000000 6315318630684813/19531250000000000
-4218837100548661/4882812500000000 2458306618221253/4882812500000000
3633116310232933/4882812500000000 -3262257467839669/4882812500000000
-4704972928935393/4882812500000000 2611580094993341/9765625000000000
2363894695109857/4882812500000000 8544907203846681/9765625000000000
-3654010589449401/156250000000000000 -4881477138062409/4882812500000000
4796243201642997/4882812500000000 -7322989819354749/39062500000000000
-63983834602527/76293945312500 332441634061989/610351562500000
-1165711235890031/1953125000000000 -1958879853762387/2441406250000000
4871885950198843/4882812500000000 1305895545050189/19531250000000000
2435937383069487/2441406250000000 -1045250368915109/15625000000000000
-697115277300119/976562500000000 -6838893233272679/9765625000000000
8394561510352519/9765625000000000 -4989866600374507/9765625000000000
-6773157472652231/1250000000000000000 -244137040937587/244140625000000
-378018353716923/1220703125000000 464278923689269/488281250000000
6805106253241007/19531250000000000 -457684563485459/488281250000000
4849626633367127/4882812500000000 -568312789837139/4882812500000000
3766587868678741/4882812500000000 6214394174069871/9765625000000000
-6846982771931817/9765625000000000 -108800117045501/152587890625000
-3551980737362321/4882812500000000 -6700833008384337/9765625000000000
8996047015294229/9765625000000000 -7599623606269143/19531250000000000
-1649119098984/3814697265625 -4402962119292083/4882812500000000
-1896627101691831/2441406250000000 -3074586225603119/4882812500000000
7489254760646201/9765625000000000 -1566813940189677/2441406250000000
-5922324750065527/39062500000000000 -4826367966385219/4882812500000000
6814388022843603/9765625000000000 6995108827941897/9765625000000000
-6827976611090947/9765625000000000 -3490922766226001/4882812500000000
2438455134702769/4882812500000000 2115171060824511/2441406250000000
-6713442929659843/9765625000000000 7092045943930797/9765625000000000
3599081536186589/4882812500000000 -3299768174590001/4882812500000000
7462215471006669/9765625000000000 1574856578884521/2441406250000000
3433286826679759/4882812500000000 6943889249089009/9765625000000000
-8720359303404211/19531250000000000 -8738207198591019/9765625000000000
1582744421426563/2441406250000000 3717732951131459/4882812500000000
-1113611926049331/4882812500000000 -2377063650195181/2441406250000000
9005199231640251/9765625000000000 755614145952571/1953125000000000
968262132101927/1953125000000000 -66258633138609/76293945312500
-4524578840574013/4882812500000000 -3671536041270017/9765625000000000
-434373817847783/2441406250000000 4804907434657781/4882812500000000
2436002330212219/4882812500000000 -8463510041905047/9765625000000000
-69608842524469/78125000000000 8867513276715731/19531250000000000
-589992077712781/976562500000000 -389096281350261/488281250000000
-2441396435066721/2441406250000000 7088889713903513/2500000000000000000
-7815865638114559/9765625000000000 -5854884795413579/9765625000000000
515633563589657/976562500000000 -2073337201991757/2441406250000000
-1489543147034187/3906250000000000 4513876222899971/4882812500000000
523033256590549/1220703125000000 -8823794492203637/9765625000000000
4882802731598331/4882812500000000 5000708275555801/2500000000000000000
6356054476539147/78125000000000000 4866625899177377/4882812500000000
-2523800380405081/78125000000000000 1220066001896759/1220703125000000
2339276580659443/2441406250000000 -5589988517869147/19531250000000000
4972885692936999/156250000000000000 -610042364280143/610351562500000
4852473010657333/4882812500000000 -2173894536534503/19531250000000000
1645772211508977/1953125000000000 -657329794227257/1220703125000000
-3773768570961553/78125000000000000 -2438556320749153/2441406250000000
-4545021471170567/4882812500000000 -7138221332242127/19531250000000000
-236932427298773/244140625000000 1177738454785657/4882812500000000
1215287059805013/1220703125000000 1837806111575613/19531250000000000
3973827403882427/4882812500000000 -5674699524841577/9765625000000000
-4978693907969167/9765625000000000 4200596344906747/4882812500000000
-1285644345151013/1953125000000000 -1470311491965639/1953125000000000
785150323945171/4882812500000000 7710837568653/7812500000000
-236996816013111/488281250000000 -853817517508771/976562500000000
601731961151573/3906250000000000 4824531665973633/4882812500000000
-6475212420466179/9765625000000000 -7310202168918827/9765625000000000
-2439589552144679/2441406250000000 1205328813303321/31250000000000000
4722075043853901/4882812500000000 4970094872926959/19531250000000000
-6460259867787879/39062500000000000 -4815573610515303/4882812500000000
-294115263229113/305175781250000 40707706264347/152587890625000
-4819217465454819/19531250000000000 4731839425524413/4882812500000000
822810661462201/976562500000000 2629909370065751/4882812500000000
-2441402796347829/2441406250000000 8410157336709857/5000000000000000000
4453455818066241/4882812500000000 4004292290374517/9765625000000000
180088934009957/195312500000000 -236241495039689/610351562500000
6285481591019327/9765625000000000 -7473964999221107/9765625000000000
-2105694703456673/2441406250000000 988417496688059/1953125000000000
7443863489829607/9765625000000000 3160550900768993/4882812500000000
976465270662549/976562500000000 4409637110613847/312500000000000000
-5968269090750011/78125000000000000 -76070993073489/76293945312500
606490771467741/610351562500000 -8773346313421267/78125000000000000
-1130936712668187/1220703125000000 -918908638166037/2441406250000000
-890827821251129/976562500000000 -4001251170461767/9765625000000000
-51165976508919/61035156250000 5324258497347493/9765625000000000
7034294521028943/9765625000000000 -3386965169294157/4882812500000000
810801021529161/976562500000000 544312428567931/976562500000000
1007379803649979/1220703125000000 -551537226643001/976562500000000
4407866433046147/4882812500000000 -2100612153297531/4882812500000000
-1571330144808779/7812500000000000 -2391514904343437/2441406250000000
-1360210683649291/3906250000000000 228861106543309/244140625000000
-8458807475084727/9765625000000000 -610020590585829/1220703125000000
-5769043489378701/19531250000000000 -4664948176160141/4882812500000000
511691512342387/610351562500000 -66543467310609/122070312500000
-1972473271091551/2441406250000000 -2877369404416791/4882812500000000
3687094078021989/9765625000000000 4521414847711947/4882812500000000
-5242370342469099/19531250000000000 2351818710311303/2441406250000000
-3199664531380783/4882812500000000 1475344287779909/1953125000000000
3216965342746961/9765625000000000 46102756323291/48828125000000
-2866216911318767/4882812500000000 -7906113717225817/9765625000000000
-5428666656191639/9765625000000000 -8117697332161263/9765625000000000
2842824530158707/4882812500000000 496239083647001/610351562500000
-6960349576110357/19531250000000000 2281115613647329/2441406250000000
-818060431809359/15625000000000000 4876115678924037/4882812500000000
-45541442275757/48828125000000 7044576086147623/19531250000000000
610351562497449/610351562500000 28912543085987/10000000000000000000
-2411753616000819/2441406250000000 -606965379169071/3906250000000000
-6683744836380893/9765625000000000 3560020596948027/4882812500000000
-2968774403051227/9765625000000000 -4651715011273069/4882812500000000
-2719772840743081/156250000000000000 -4882072727529713/4882812500000000
615575787926263/4882812500000000 -1210963571899337/1220703125000000
2861706087172689/19531250000000000 -2415058115349979/2441406250000000
4798671044694673/4882812500000000 7220478056041139/39062500000000000
-1092059424298033/1220703125000000 -8727297250338921/19531250000000000
-488097175243059/488281250000000 4289989046844181/156250000000000000
979528317243619/1220703125000000 5827605450489041/9765625000000000
-2010095938485541/2441406250000000 -5542531978253973/9765625000000000
-4878407493072383/4882812500000000 -6635525562611471/156250000000000000
-6741398545024701/9765625000000000 -7065477853462131/9765625000000000
7398310417303637/19531250000000000 -4518951271670483/4882812500000000
4086947862518663/4882812500000000 5343674795198667/9765625000000000
6092681380420793/9765625000000000 -7631950290541649/9765625000000000
5613527095598991/39062500000000000 2416065386601103/2441406250000000
4576685248093271/4882812500000000 -6647296797846/19073486328125
-1162555555141813/1220703125000000 -1191245723635241/3906250000000000
-4694525574316879/4882812500000000 -1074292337789979/3906250000000000
207657898467843/3906250000000000 975181626022299/976562500000000
954054636562311/1220703125000000 6092071541739987/9765625000000000
-8563895255141649/9765625000000000 -4693306904474429/9765625000000000
4973697029477623/9765625000000000 8404151920306443/9765625000000000
6412472860202881/19531250000000000 -2306071871100771/2441406250000000
253568293088273/976562500000000 -2357670244577459/2441406250000000
1831188425954277/2441406250000000 3229373577764059/4882812500000000
-8907685231647517/9765625000000000 8005142210982571/19531250000000000
-960926334092429/976562500000000 696217171335907/3906250000000000
8001138984719567/9765625000000000 -5599036219549373/9765625000000000
-974636480386097/976562500000000 -4904233277878199/78125000000000000
-4532043477722639/4882812500000000 -1453809302749257/3906250000000000
-82550765073899/97656250000000 -5217388570708949/9765625000000000
4626338311865727/4882812500000000 -6246729364164413/19531250000000000
-2384392233958261/19531250000000000 -4846289819523923/4882812500000000
-5661681076084811/9765625000000000 -7956934022180159/9765625000000000
-92134424287297/390625000000000 -4745049039628179/4882812500000000
-8378688855949303/19531250000000000 8821384523101957/9765625000000000
1636387256672391/1953125000000000 213254215604307/390625000000000
4514449268062811/4882812500000000 3721078185818407/9765625000000000
-2985192057573517/39062500000000000 -2434266713436737/2441406250000000
-4237001586176191/4882812500000000 -4853730717251089/9765625000000000
-4896077829817857/78125000000000000 -38071987776363/38146972656250
6063627338846261/19531250000000000 -4641539009706911/4882812500000000
-873011406688961/976562500000000 2188180752344351/4882812500000000
-1168763489477363/1220703125000000 -5636635025674689/19531250000000000
-4833904920624793/4882812500000000 551490273939643/3906250000000000
4048260494715709/9765625000000000 -8887014043397767/9765625000000000
2096382358335299/2441406250000000 1251257561495471/2441406250000000
4563747863050667/4882812500000000 3472211602225143/9765625000000000
3221697296914489/9765625000000000 921889896721289/976562500000000
1349092419291619/7812500000000000 2404729753003741/2441406250000000
-973406119147533/976562500000000 3138112454935599/39062500000000000
-8305710829528871/9765625000000000 1284099861208033/2441406250000000
-3206038287669403/9765625000000000 4612178176811441/4882812500000000
583530997909211/610351562500000 2863088316358679/9765625000000000
-5705398914742447/78125000000000000 -97395489245393/97656250000000
7060350575146309/9765625000000000 -1686692054671217/2441406250000000
-2472719260739111/4882812500000000 -1052601460897181/1220703125000000
-2719647878202901/9765625000000000 -4689641432434133/4882812500000000
-2440166714642819/2441406250000000 1244598676607701/39062500000000000
-1283191300307991/3906250000000000 4611840933488811/4882812500000000
-904863639045791/1220703125000000 -3277408522885297/4882812500000000
776993857691083/1220703125000000 -376594564909287/488281250000000
483843409364547/488281250000000 5254565597910541/39062500000000000
4244904599515861/39062500000000000 4853896133505487/4882812500000000
-7951174037619623/9765625000000000 -2834883730601163/4882812500000000
942548085331997/976562500000000 -2554944681264869/9765625000000000
518521504826913/15625000000000000 244006155692591/244140625000000
-4960059437819631/9765625000000000 -2103051978879763/2441406250000000
4465763720177391/4882812500000000 -1579632829378501/3906250000000000
343654199233087/1220703125000000 2342663365261199/2441406250000000
-4821358444711661/9765625000000000 -2123115846878011/2441406250000000
-4819434115734033/9765625000000000 849355558318917/976562500000000
-47700638392099/244140625000000 -2394353647070057/2441406250000000
-1197388537479137/7812500000000000 -4825122122009969/4882812500000000
-6860691535832747/9765625000000000 -6949700949737183/9765625000000000
1206127150870681/4882812500000000 4731502425877939/4882812500000000
-2885891594538867/9765625000000000 4664736363000457/4882812500000000
-7399401455349087/9765625000000000 6373091066602047/9765625000000000
-5810630971732719/9765625000000000 1569764305250511/1953125000000000
893031591983337/976562500000000 1580728399825633/3906250000000000
8607541775855813/9765625000000000 -1153192747807201/2441406250000000
7212286483037921/156250000000000000 -975521603739639/976562500000000
-8408854268127289/39062500000000000 4768336443646053/4882812500000000
-925122042552349/976562500000000 -6255350439104747/19531250000000000
-3005317549752133/4882812500000000 -7696732900473573/9765625000000000
-231306603020007/976562500000000 -474386860011319/488281250000000
-6420731743947721/39062500000000000 4816399572882253/4882812500000000
-4576515474061957/4882812500000000 6808658047900729/19531250000000000
-2943179736433473/9765625000000000 1163944832507057/1220703125000000
-1516539481902949/1953125000000000 -96154238630099/152587890625000
-7056119076717197/9765625000000000 33755968070777/48828125000000
4853044563571043/4882812500000000 2153383845578079/19531250000000000
7342169374027509/39062500000000000 -2397892511480371/2441406250000000
-975574720142511/976562500000000 -439122058784491/9765625000000000
1164131113653027/4882812500000000 -148187805317791/152587890625000
-1608532609986407/1953125000000000 553922401658237/976562500000000
4691549003488599/4882812500000000 -5412911760627741/19531250000000000
-35693051339007/38146972656250 -3446007327327699/9765625000000000
-1217379133372413/2441406250000000 8464941840951769/9765625000000000
4043271541515639/4882812500000000 -2737482995696229/4882812500000000
-1214063964900133/1953125000000000 -7649748287943809/9765625000000000
-1212388543155519/1220703125000000 4551446271839749/39062500000000000
1240754527285661/2441406250000000 8410462703617867/9765625000000000
-2497960381869583/4882812500000000 1678191971891951/1953125000000000
1100227426885049/1953125000000000 -8068762102632137/9765625000000000
4950222427060471/9765625000000000 -8418000330437897/9765625000000000
5076509431289351/9765625000000000 -8342450697166587/9765625000000000
2368159494586133/2441406250000000 296768043150123/1220703125000000
-245473432251327/390625000000000 3798245579453287/4882812500000000
-4811042788474909/4882812500000000 -6672811450031271/39062500000000000
-1379086110757859/1953125000000000 3457617283567329/4882812500000000
40300688458443/48828125000000 5513765685232351/9765625000000000
-6203160266407891/9765625000000000 -471401808894739/610351562500000
-6510214870484911/9765625000000000 -1819761900303549/2441406250000000
3650173002560521/78125000000000000 -975496016622071/976562500000000
-4558832207689373/4882812500000000 -6995892294528593/19531250000000000
44431921462099/152587890625000 2335609212275599/2441406250000000
4772831447378261/4882812500000000 -25762592613533/122070312500000
-4576108325721223/4882812500000000 -3406517577480647/9765625000000000
7254708465882937/9765625000000000 817165802443033/1220703125000000
96415580188403/97656250000000 1551705709843621/9765625000000000
-6769302556505471/9765625000000000 -219960877512009/305175781250000
-918612582458607/1953125000000000 -4309037152437399/4882812500000000
-4871115427384367/4882812500000000 168887835007637/2441406250000000
4853199567895537/4882812500000000 -8591148774739939/78125000000000000
-590092122715393/610351562500000 4990391182338651/19531250000000000
6599879996863641/9765625000000000 -3598923994321921/4882812500000000
4131070816425121/4882812500000000 6507741457217/12207031250000
-1485230861049619/2441406250000000 -3875334187873283/4882812500000000
-485419877878619/488281250000000 4222697724910249/39062500000000000
474869398593087/610351562500000 766884826101107/1220703125000000
-8734909971720637/9765625000000000 -8733562715538349/19531250000000000
817399598303233/1220703125000000 7253022613298723/9765625000000000
-4521600731439131/4882812500000000 1474472865395439/3906250000000000
-4603606327250229/4882812500000000 -6509889945438909/19531250000000000
-3175868684530783/4882812500000000 370886990992849/488281250000000
-187827407731367/195312500000000 -5355219473714241/19531250000000000
-6052280539203891/19531250000000000 2321232252346241/2441406250000000
16556572334949/19073486328125 -606069501836927/1220703125000000
367710672645059/610351562500000 3897222732719163/4882812500000000
151945187327943/488281250000000 -464037971667663/488281250000000
-5281463039833863/9765625000000000 -1642846064602449/1953125000000000
2385391498324039/2441406250000000 -8319567331249219/39062500000000000
262895260832469/2441406250000000 -303401306012631/305175781250000
7011771928252517/156250000000000000 4877893527742719/4882812500000000
-2512889717074999/19531250000000000 -2421115160908291/2441406250000000
1389711951386351/2441406250000000 1605822439940457/1953125000000000
-3883914512351171/4882812500000000 1479617008798579/2441406250000000
-111079074720517/122070312500000 -4049770642853903/9765625000000000
-3202823469508257/4882812500000000 921404489533619/1220703125000000
-4574420259711251/4882812500000000 -1707787222606933/4882812500000000
-175583571978401/305175781250000 -7987360685105063/9765625000000000
-6529373866511139/39062500000000000 -2407058454415661/2441406250000000
1713192909691463/2441406250000000 1391502102155097/1953125000000000
8339767895811127/19531250000000000 2207650044470711/2441406250000000
-103630920349599/305175781250000 4592665869744389/4882812500000000
1085072393686957/39062500000000000 -976185665021791/976562500000000
-5737495867230313/9765625000000000 158048818805001/195312500000000
-4710859666225029/4882812500000000 321097640454821/1220703125000000
4766055587672359/4882812500000000 132675122796093/610351562500000
-1160666158709167/1220703125000000 -3024911898613353/9765625000000000
-1421772007633603/1953125000000000 6695635936814579/9765625000000000
-8474147362569383/9765625000000000 2426739485301387/4882812500000000
358019859302927/488281250000000 -6640492736123573/9765625000000000
317819816993721/2441406250000000 -4841262249234239/4882812500000000
-1536282150413327/2441406250000000 7589784325642427/9765625000000000
-330509778983491/488281250000000 359418787903257/488281250000000
225936036470769/610351562500000 2267975087235557/2441406250000000
-240243398830659/3125000000000000 4868361894160639/4882812500000000
-1212455852265253/1220703125000000 4533048853600083/39062500000000000
6634622308052811/19531250000000000 -4592463346288051/4882812500000000
-8684511348198809/9765625000000000 1116543054578257/2441406250000000
-4203215867288493/9765625000000000 -2203695873039189/2441406250000000
941123798367169/976562500000000 -5213839757921303/19531250000000000
4693202934278201/4882812500000000 -1077984527633301/3906250000000000
23469765371363/78125000000000 291079474392817/305175781250000
-3958695448100041/4882812500000000 -5716848173372551/9765625000000000
-4849956248521973/4882812500000000 282746484318957/2441406250000000
3939091242395689/4882812500000000 -5770760121244977/9765625000000000
401009852195839/610351562500000 -3681044445593671/4882812500000000
1136315543086599/1220703125000000 -7135768712387669/19531250000000000
6835246149074323/9765625000000000 -1743682198004227/2441406250000000
-4821264591448309/4882812500000000 -1545659276041159/9765625000000000
8715203557067483/39062500000000000 -1189933416766163/1220703125000000
-3094418186737167/4882812500000000 -7554186652644087/9765625000000000
29691545260259/30517578125000 564182748681849/2441406250000000
-1370092672926263/4882812500000000 -2343325840432249/2441406250000000
959133892358863/15625000000000000 -4873604439435239/4882812500000000
-6364709464891689/9765625000000000 7406612253125119/9765625000000000
2616807694849467/4882812500000000 206119961420121/244140625000000
2441343111808153/2441406250000000 2247440774322453/312500000000000000
2266601517880847/2441406250000000 -7257468590870749/19531250000000000
930225277485713/976562500000000 2972461093654187/9765625000000000
-8222490445809479/19531250000000000 8858052514958803/9765625000000000
2386479792900357/9765625000000000 -1183692222974257/1220703125000000
-2440943479162213/2441406250000000 6084254948400579/312500000000000000
-8177411108916321/9765625000000000 5338293659625419/9765625000000000
-867111833030043/1953125000000000 -8750449037969821/9765625000000000
-2025511109972087/39062500000000000 1219060942302813/1220703125000000
-246477272829381/976562500000000 590591358296139/610351562500000
11482333825499/122070312500000 486116318652521/488281250000000
1207737648556813/1220703125000000 -5678164583971077/39062500000000000
8492623234486643/9765625000000000 964215375062701/1953125000000000
-2350465748665339/2441406250000000 1320265491316271/4882812500000000
-5743967564585963/9765625000000000 -1974434543382127/2441406250000000
-1816261451595097/2441406250000000 6525836426989243/9765625000000000
316522032809331/488281250000000 -7435923126224781/9765625000000000
-8446574987663323/19531250000000000 -440259225868891/488281250000000
-1437356178911827/1953125000000000 -6611929522781137/9765625000000000
-5014377404132261/39062500000000000 -2421207509225549/2441406250000000
-4625041400199729/9765625000000000 -537559675782691/610351562500000
-2397644274744741/2441406250000000 -1840723376600959/9765625000000000
-3509806622562999/9765625000000000 -2278276337399037/2441406250000000
-1113065972099941/2441406250000000 -54322811847857/61035156250000
-1195075910121717/3906250000000000 -581085801562899/610351562500000
6292228458489181/9765625000000000 -3734142895859901/4882812500000000
301964568911717/305175781250000 5651829213998529/39062500000000000
-2349339321713817/2441406250000000 -83016303838117/305175781250000
-5452224004603677/9765625000000000 -126592092454983/152587890625000
-564422448913523/976562500000000 -99616578656673/122070312500000
7866053144611811/9765625000000000 361705160742401/610351562500000
-3108126510528077/39062500000000000 1216832809298671/1220703125000000
