2500
-74216127282243/1220703125000000 -2436889891510071/2441406250000000
-2981595413662471/4882812500000000 7733549430729247/9765625000000000
1709200230789703/4882812500000000 -35733535053483/38146972656250
-8697125666676791/19531250000000000 2185998526490997/2441406250000000
-8046489816139767/19531250000000000 1779673363854331/1953125000000000
-629413701513271/4882812500000000 -4842075619246731/4882812500000000
-2440984724400443/2441406250000000 5806818129807569/312500000000000000
6974925252756823/9765625000000000 3417522836759111/4882812500000000
7530718018008079/19531250000000000 4505260901821811/4882812500000000
2398441609006637/2441406250000000 -7296110976782601/39062500000000000
-4814157906732843/4882812500000000 6527438991569799/39062500000000000
543478139022413/976562500000000 -811360480188051/976562500000000
-8839317931966343/9765625000000000 4151372078993071/9765625000000000
-1383095068059021/15625000000000000 -4863645360694041/4882812500000000
1614768072384513/7812500000000000 -2388687538479053/2441406250000000
1532975745973781/4882812500000000 -2317964800876643/2441406250000000
-1030683311964213/4882812500000000 -149149770773121/152587890625000
-8984186708445231/9765625000000000 -7655539387507861/19531250000000000
4671860701183851/4882812500000000 1135767722419387/3906250000000000
1095014173075599/1953125000000000 8086472077470747/9765625000000000
4548577470549959/9765625000000000 -540102256793181/610351562500000
2377622197986217/2441406250000000 -8870656867597619/39062500000000000
-1536685828744511/2441406250000000 948559584485189/1220703125000000
-4635725747809787/9765625000000000 -8595200895367041/9765625000000000
8211874016461987/19531250000000000 4430257129249501/4882812500000000
456126011689383/7812500000000000 -1218620839624891/1220703125000000
-1176827435162067/2441406250000000 8556206323261667/9765625000000000
-304959180261631/305175781250000 2942951723790093/78125000000000000
-709410246359271/19531250000000000 -4879590554447553/4882812500000000
-6986117803105019/9765625000000000 6823605328692751/9765625000000000
346802432237947/1220703125000000 4681613725849/4882812500000
-4711800490485419/4882812500000000 -320233708408563/1220703125000000
-4876803102485987/4882812500000000 -7749644867543803/156250000000000000
2490888789888533/4882812500000000 8399364487046359/9765625000000000
-1235377930537161/1953125000000000 189098958648587/244140625000000
-1534185942863439/2441406250000000 3798282754224221/4882812500000000
-6980901019441137/9765625000000000 341447113757719/488281250000000
-6385290200466343/19531250000000000 -1153625053530867/1220703125000000
-7374847828364979/156250000000000000 -4877370629481881/4882812500000000
-949939542384429/1220703125000000 1226617838656369/1953125000000000
8363505499022201/19531250000000000 -8824985868690179/9765625000000000
-3749490403150103/4882812500000000 625561495836869/976562500000000
-4858486854609769/4882812500000000 7788621752115307/78125000000000000
-2883785046441239/4882812500000000 7880518185012493/9765625000000000
-2886121071677083/156250000000000000 4881979459454811/4882812500000000
7204628726130181/39062500000000000 -4799043249649839/4882812500000000
-119681286516897/122070312500000 96129150751107/488281250000000
1293251955326691/4882812500000000 941686939278653/976562500000000
-8122397857652369/9765625000000000 -5421631182829501/9765625000000000
-4447674211820591/4882812500000000 2014957075389531/4882812500000000
4869899739946509/4882812500000000 -5677958687278797/78125000000000000
-5513017916526319/39062500000000000 -2416969257036831/2441406250000000
-2005775026002733/2441406250000000 -1113504312728869/1953125000000000
2261446399138037/2441406250000000 -7359672433426559/19531250000000000
976169679644631/976562500000000 -14180393897093/500000000000000
453681674647731/488281250000000 -225664010444707/610351562500000
4917879118821/6103515625000 5783810333218563/9765625000000000
23316016221201/24414062500000 -5791570996631459/19531250000000000
-4882739380345731/4882812500000000 3420388440826137/625000000000000000
-8285432331971641/9765625000000000 2584523298064073/4882812500000000
-4853743087337373/4882812500000000 -4256089865825037/39062500000000000
-1042717132867219/1220703125000000 -2538840996076539/4882812500000000
275658006177327/390625000000000 -432450080254881/610351562500000
1231758303857341/2441406250000000 8431593878661423/9765625000000000
526358722244503/312500000000000000 195312222946299/195312500000000
3381640741948819/4882812500000000 -7044533711339051/9765625000000000
-159836693276089/610351562500000 4712409227246763/4882812500000000
4871819526200869/4882812500000000 -654927215144383/9765625000000000
7806937613567631/19531250000000000 -8951556452097631/9765625000000000
-5083626157060587/78125000000000000 2436232116182927/2441406250000000
2537858205165789/156250000000000000 1220542096272231/1220703125000000
-4699051700588867/4882812500000000 26538809508711/97656250000000
7684974133259319/9765625000000000 6025662138865751/9765625000000000
-1287377806811669/2441406250000000 -8297587948379061/9765625000000000
-2318309535005133/2441406250000000 -6123556495728129/19531250000000000
-1725501276857199/7812500000000000 -2381114694186633/2441406250000000
-783037621802077/1953125000000000 8946436928279811/9765625000000000
-2264668096265601/2441406250000000 -1823998784315167/4882812500000000
