2500
-4665058704065737/4882812500000000 1153522659758847/3906250000000000
1486738411605717/3906250000000000 -4515320786976981/4882812500000000
-8928911051508453/9765625000000000 -3954994194038117/9765625000000000
1917248921229177/2441406250000000 151149629559077/244140625000000
6837135748982693/9765625000000000 -6972876478943813/9765625000000000
4882464336055927/4882812500000000 7463527652106941/625000000000000000
-1180597395280409/2441406250000000 -2136973155609629/2441406250000000
-4330673371750591/78125000000000000 2437652417740083/2441406250000000
5483629833943441/9765625000000000 -1616134096972283/1953125000000000
7135099046579917/9765625000000000 1666916937719891/2441406250000000
4112751969070911/4882812500000000 5263887974134553/9765625000000000
4844872462556407/39062500000000000 -4845110481634363/4882812500000000
558509580301843/9765625000000000 -4874820475908217/4882812500000000
4844547724747103/4882812500000000 -48807556975791/390625000000000
-4878142643885931/4882812500000000 -6832000453982553/156250000000000000
3412731959691329/312500000000000000 -2441260661416193/2441406250000000
539685855561227/610351562500000 912242534225509/1953125000000000
5987957168525251/9765625000000000 -7714389190890751/9765625000000000
642424499813841/1220703125000000 -830385695993837/976562500000000
1156906095543699/1220703125000000 3115734576408961/9765625000000000
-6994725307453017/9765625000000000 3407390846157119/4882812500000000
-2875877623226869/4882812500000000 -7892068374356427/9765625000000000
5899046764286501/78125000000000000 4868873101890773/4882812500000000
-4627591085602773/4882812500000000 -6231864766961491/19531250000000000
6823460662961709/9765625000000000 -3493129550333023/4882812500000000
8513861406608913/9765625000000000 478347108172301/976562500000000
8882778364450347/9765625000000000 -1014386519302363/2441406250000000
-3485298961212679/4882812500000000 1709864692097453/2441406250000000
-1254416322912739/1953125000000000 -1497042736342247/1953125000000000
-1173881150722831/1220703125000000 5357471961734977/19531250000000000
-4651794941718697/39062500000000000 1212016539435593/1220703125000000
1191569047209579/31250000000000000 -609907702109523/610351562500000
1729741615936749/4882812500000000 -91323276008371/97656250000000
4771979706200363/4882812500000000 -4137762861775721/19531250000000000
-7577672799942399/9765625000000000 3080028675907017/4882812500000000
-1607107952189907/2441406250000000 -3675686878691941/4882812500000000
-3742246130387981/39062500000000000 -607544225047103/610351562500000
-7723366328789687/9765625000000000 5976373833014691/9765625000000000
-7025303348557137/9765625000000000 -6783254712995589/9765625000000000
7757059321376637/9765625000000000 1186515272978293/1953125000000000
-1006962325085973/1953125000000000 8367682088670749/9765625000000000
37990521698419/78125000000000 8533240048189817/9765625000000000
-2367625590466563/19531250000000000 969360711533467/976562500000000
-1887004613103051/9765625000000000 -4790789215535181/4882812500000000
1189089339272359/1220703125000000 -4416193115011973/19531250000000000
